#id,screen_name,friends_count,followers_count,favourites_count,statuses_count,name,Following
14939200,seancribbs,305,2132,3132,17004,Sean Cribbs,
344923471,BigDataU,3,491,0,22,Big Data University,
604686251,bigdive_eu,493,264,1,498,BIG DIVE,
21457289,MSFTResearch,811,111823,5,1746,Microsoft Research,
304590949,ClouderaU,1410,2167,0,468,Cloudera University,
16134540,cloudera,319,18564,34,2001,Cloudera,
11342442,davekincaid,244,177,21,3292,Dave Kincaid,
635388777,Philosophyflow,1886,20614,115,239,Philosophy,
233872539,mariopastorelli,142,61,25,562,Mario Pastorelli,Yes
78189786,Quantisan,169,631,2,2823,Paul Lam,
93630781,LeMondefr_Sport,13,17165,0,13014,Le Monde.fr Sport,
18936161,lequipe,872,923718,1,46424,L'ÉQUIPE,
26076934,mattcasters,85,926,1,2866,Matt Casters,
28926980,wpgorman,329,566,3,1489,Will Gorman,
236362984,ptaoussanis,1197,1740,163,1300,Peter Taoussanis,
14214153,yogsototh,169,267,48,1594,Yann Esposito,Yes
19170542,ruflin,175,279,0,1824,Nicolas Ruflin,
291340178,s1m0nw,140,743,54,1845,Simon Willnauer,
485541553,dkoller82,152,35,13,165,dkoller82,
703083300,gotozrh,652,228,0,102,GOTO Zürich,Yes
22723307,amandacox,100,2051,14,14,Amanda Cox,
19575003,julianhyde,162,1167,10,3717,Julian Hyde,
35367022,lisperati,9,714,0,37,Conrad Barski,
20167623,kdnuggets,336,10900,56,9250,Gregory Piatetsky,
765548,hmason,981,31223,685,10662,Hilary Mason,
483979858,coderweekly,767,579,114,425,Coder Weekly,Yes
17013577,blprnt,841,14793,405,10975,blprnt,
37680207,julianschmidli,930,1219,2730,2097,Julian Schmidli,Yes
19334097,sbtourist,239,1447,5404,10132,Sergio Bossa,
14089195,pitchforkmedia,2349,2296728,19,24190,Pitchfork,
1201430228,DeveloperProust,22,44,0,76,Programmer Proust,
457049474,EuroClojure,285,647,0,513,EuroClojure,
146629216,planet_haskell,2,448,0,1990,planet_haskell,
16486287,planet_lisp,0,1822,0,1634,Planet Lisp,
22674817,benhamner,369,1067,189,630,Ben Hamner,
114761921,timbaldridge,113,223,40,371,Timothy Baldridge,
212141788,takeoutweight,342,275,1255,921,Nathan Sorenson,
25997639,pkfoot,9569,10656,16,2631,PKFoot.com,Yes
14109167,flowingdata,194,34713,716,7947,Nathan Yau,
465929514,datastories,19,1653,104,239,DATA STORIES podcast,
17242168,alignedleft,483,3330,2200,3173,Scott Murray,
849101,jmspool,678,34493,568,29042,Jared M. Spool,
46146963,ShoKashima,201,1543,13,4280,Sho Kashima,
459354897,MarquisPhil,230,330,18,578,Philippe Marquis,
17486629,Zen_Moments,782,195910,43,16407,Zen Moments,
1152461618,miniKanren,5,195,0,35,miniKanren.org,
633182893,LambdaJam,0,634,0,187,Lambda Jam,
18367054,medriscoll,716,9465,58,1680,Michael E. Driscoll,
160045088,CounterMedia,31,44,0,60,Charles Boucher,
17765013,odersky,127,15933,7,424,Martin Odersky,
46748716,moleskind,623,565,76,2317,Hakan Tuzun Sengun,Yes
17713078,leonardo_borges,519,691,1,5779,Leonardo Borges,Yes
14466341,ronmiguel,78,83,0,961,Ron Miguel,Yes
4068551,miner,124,129,114,327,Steve Miner,
315636336,dribnet,22,65,0,35,tom white,
46966451,dgrnbrg,35,58,0,68,David Greenberg,
14684168,BrandonBloom,414,247,11,322,Brandon Bloom,
562566522,stormprocessor,0,2927,0,133,Storm,
15983724,vimtips,24,17740,0,921,vimtips,
81581089,nakkaya,280,219,0,511,Nurullah Akkaya,
356611034,MikaelKingsbury,408,1166,15,721,Mikael Kingsbury,
413596141,mogulskiingnet,69,59,0,195,MogulSkiing.Net,
14639927,BrianGoetz,78,5076,3,141,Brian Goetz,
12464572,JulioBarros,1018,2007,7,3168,Julio Barros,Yes
52716243,Labelpop,397,2150,993,5139,Vincent Théval,
14480530,tbatchelli,155,327,5,638,Antoni Batchelli,
57027700,ifesdjeen,448,723,995,8959,Alex P,Yes
808096,seancorfield,2053,2721,59,11670,Sean Corfield,
337766434,ABilodeau_ski,151,5120,0,1200,Alex Bilodeau,
14278962,nealrichter,489,2035,10,4132,nealrichter,
220139885,StatFact,14,18519,23,1695,Stat Fact,
273041939,midpeter444,102,69,60,683,Michael Peterson,Yes
